date,latitude,longitude,mag,depth,place
2018-11-27,48.378,154.96200000000002,4.9,35.0,"269km SSW of Severo-Kuril'sk, Russia"
2018-11-26,36.0733,139.783,4.8,48.82,"3km SSW of Sakai, Japan"
2018-11-26,38.8576,141.8384,4.5,50.56,"26km SSE of Ofunato, Japan"
2018-11-26,50.0727,156.142,4.6,66.34,"67km S of Severo-Kuril'sk, Russia"
2018-11-25,33.95,134.4942,4.6,38.19,"9km SW of Komatsushima, Japan"
2018-11-25,48.4158,155.0325,4.6,35.0,"263km SSW of Severo-Kuril'sk, Russia"
2018-11-23,37.1821,141.1721,5.2,46.76,"29km ENE of Iwaki, Japan"
2018-11-23,29.3424,142.3121,4.7,10.0,"250km N of Chichi-shima, Japan"
2018-11-20,44.4524,148.0753,4.7,101.46,"88km S of Kuril'sk, Russia"
2018-11-20,30.4087,130.0687,5.5,123.0,"96km WSW of Nishinoomote, Japan"
2018-11-20,42.0009,142.7654,4.5,73.55,"49km SE of Shizunai, Japan"
2018-11-18,24.1937,125.2046,4.5,30.25,"67km S of Hirara, Japan"
2018-11-18,30.7822,141.9762,4.8,10.0,"Izu Islands, Japan region"
2018-11-17,25.3931,141.0321,4.8,115.25,"74km NNW of Iwo Jima, Japan"
2018-11-16,26.3407,143.8582,4.8,36.24,"182km ESE of Chichi-shima, Japan"
2018-11-16,39.6014,141.937,4.5,49.23,"4km SSW of Miyako, Japan"
2018-11-14,42.6765,141.9846,4.8,35.0,"31km E of Tomakomai, Japan"
2018-11-14,34.7663,139.9805,5.0,105.5,"26km SSE of Tateyama, Japan"
2018-11-13,45.2679,150.481,4.8,54.13,"203km E of Kuril'sk, Russia"
2018-11-12,42.9554,139.2679,4.5,8.66,"101km W of Iwanai, Japan"
2018-11-11,31.4232,141.8762,4.9,10.0,"268km SE of Hachijo-jima, Japan"
2018-11-11,49.5372,155.8279,4.6,42.08,"128km S of Severo-Kuril'sk, Russia"
2018-11-09,31.4465,141.757,4.7,10.0,"258km SE of Hachijo-jima, Japan"
2018-11-09,31.4081,141.6164,4.9,7.65,"252km SE of Hachijo-jima, Japan"
2018-11-09,44.7104,145.6708,4.7,22.35,"72km NNW of Otrada, Russia"
2018-11-08,40.7338,142.5527,4.5,46.17,"92km ENE of Hachinohe, Japan"
2018-11-06,46.4029,150.6558,4.8,93.0,"251km ENE of Kuril'sk, Russia"
2018-11-06,31.3464,130.2914,4.5,153.81,"8km SSW of Kaseda, Japan"
2018-11-06,29.2926,130.5364,4.8,35.0,"145km NE of Naze, Japan"
2018-11-05,29.2376,130.5301,5.0,36.22,"140km NE of Naze, Japan"
2018-11-05,29.2918,130.5495,4.8,20.13,"146km NE of Naze, Japan"
2018-11-05,44.4808,145.5972,4.5,13.17,"50km NNW of Otrada, Russia"
2018-11-04,33.6271,135.2732,4.5,38.72,"14km SW of Tanabe, Japan"
2018-11-04,44.5643,145.5939,5.9,8.03,"59km NNW of Otrada, Russia"
2018-11-04,41.8346,141.4836,4.7,105.19,"62km E of Hakodate, Japan"
2018-11-02,36.3247,141.9646,4.9,18.75,"119km ESE of Takahagi, Japan"
2018-11-02,47.8166,146.7181,5.9,431.95,"202km SW of Vostok, Russia"
2018-11-02,33.689,135.1407,5.4,35.22,"21km WSW of Tanabe, Japan"
2018-10-31,43.8269,147.1498,4.7,59.39,"34km E of Shikotan, Russia"
2018-10-30,42.3089,141.0174,4.5,124.9,"2km ESE of Muroran, Japan"
2018-10-30,31.7203,140.595,4.6,108.42,"168km SSE of Hachijo-jima, Japan"
2018-10-29,32.0275,140.8996,4.8,49.66,"156km SE of Hachijo-jima, Japan"
2018-10-29,36.4974,141.2367,4.5,46.56,"52km ESE of Takahagi, Japan"
2018-10-29,31.6133,140.2515,5.5,94.0,"168km SSE of Hachijo-jima, Japan"
2018-10-28,36.9038,141.6538,4.9,35.0,"70km ESE of Iwaki, Japan"
2018-10-28,37.1874,142.3293,4.5,8.74,"122km ESE of Namie, Japan"
2018-10-28,29.7245,130.6764,4.6,44.5,"116km SSW of Nishinoomote, Japan"
2018-10-27,40.1961,142.3206,4.8,53.57,"69km NNE of Miyako, Japan"
2018-10-27,36.9011,141.2901,4.8,9.7,"39km ESE of Iwaki, Japan"
2018-10-26,31.1987,130.6371,4.5,117.01,"4km SSW of Ibusuki, Japan"
2018-10-26,44.6221,145.6544,4.7,10.0,"63km NNW of Otrada, Russia"
2018-10-26,44.4503,145.5656,5.1,10.0,"48km NNW of Otrada, Russia"
2018-10-26,44.5381,145.401,5.6,10.0,"63km NW of Otrada, Russia"
2018-10-25,38.3158,141.785,5.7,40.0,"43km ESE of Ishinomaki, Japan"
2018-10-24,37.339,142.2702,4.5,23.37,"113km E of Namie, Japan"
2018-10-23,38.3475,141.77700000000002,4.6,44.25,"42km E of Ishinomaki, Japan"
2018-10-22,37.8031,143.852,4.5,10.0,"233km ESE of Ishinomaki, Japan"
2018-10-22,37.5957,141.3821,5.0,46.64,"35km ENE of Namie, Japan"
2018-10-21,28.9647,143.571,4.6,10.0,"247km NNE of Chichi-shima, Japan"
2018-10-21,35.1704,140.6009,4.6,38.05,"21km ESE of Ohara, Japan"
2018-10-20,49.3746,156.1303,4.8,42.62,"145km S of Severo-Kuril'sk, Russia"
2018-10-20,37.0022,141.2542,4.5,19.86,"33km E of Iwaki, Japan"
2018-10-19,42.3707,142.9248,4.6,42.66,"46km E of Shizunai, Japan"
2018-10-18,33.5493,141.2363,4.7,34.35,"143km ENE of Hachijo-jima, Japan"
2018-10-18,38.4427,142.1305,4.5,47.47,"72km E of Ishinomaki, Japan"
2018-10-18,32.0877,141.8781,4.6,23.6,"224km ESE of Hachijo-jima, Japan"
2018-10-18,47.0156,152.8699,4.6,57.9,Kuril Islands
2018-10-18,35.5209,140.9905,4.9,35.02,"27km SSE of Hasaki, Japan"
2018-10-17,29.1271,141.0014,5.2,80.18,"256km NNW of Chichi-shima, Japan"
2018-10-17,25.947,128.4265,4.8,18.41,"70km SE of Haebaru, Japan"
2018-10-16,25.855999999999998,128.388,4.5,10.0,"74km SE of Haebaru, Japan"
2018-10-16,41.6267,134.7112,4.5,10.0,"156km SSE of Preobrazheniye, Russia"
2018-10-15,38.6914,141.8002,4.5,56.13,"42km S of Ofunato, Japan"
2018-10-15,47.4724,152.6555,4.6,55.69,Kuril Islands
2018-10-15,49.3095,151.3519,4.9,303.43,"184km ENE of Vostok, Russia"
2018-10-15,25.9629,128.6829,4.7,10.0,"91km ESE of Haebaru, Japan"
2018-10-15,32.6162,130.6042,4.5,10.0,"6km WSW of Matsubase, Japan"
2018-10-14,26.5525,141.6906,4.5,35.0,"78km SW of Chichi-shima, Japan"
2018-10-14,38.2959,141.8105,4.6,49.3,"46km ESE of Ishinomaki, Japan"
2018-10-13,25.8498,128.1607,4.6,10.0,"57km ESE of Itoman, Japan"
2018-10-13,27.8272,127.1416,4.6,171.69,"160km NNW of Nago, Japan"
2018-10-13,26.3139,128.842,4.5,18.24,"91km ESE of Nago, Japan"
2018-10-13,39.3602,143.4791,4.6,10.0,"132km E of Yamada, Japan"
2018-10-12,49.3107,156.1359,4.9,10.0,"152km S of Severo-Kuril'sk, Russia"
2018-10-12,47.1406,146.6593,5.1,355.35,"232km NNW of Kuril'sk, Russia"
2018-10-12,49.1822,156.2022,4.8,10.0,"166km S of Severo-Kuril'sk, Russia"
2018-10-12,47.8596,155.7742,4.5,33.72,East of the Kuril Islands
2018-10-12,35.7549,140.7582,5.2,34.51,"7km WNW of Hasaki, Japan"
2018-10-12,42.6212,141.8133,4.5,17.94,"17km E of Tomakomai, Japan"
2018-10-11,48.3694,155.1659,4.5,48.25,"266km SSW of Severo-Kuril'sk, Russia"
2018-10-11,49.2456,156.2422,5.0,19.02,"159km S of Severo-Kuril'sk, Russia"
2018-10-11,27.9648,128.0506,4.7,10.0,"147km WSW of Naze, Japan"
2018-10-11,49.1973,156.1499,5.2,10.0,"164km S of Severo-Kuril'sk, Russia"
2018-10-11,49.2508,156.1857,4.8,10.0,"158km S of Severo-Kuril'sk, Russia"
2018-10-11,49.2243,156.1998,5.2,10.0,"161km S of Severo-Kuril'sk, Russia"
2018-10-11,49.3443,156.0955,5.0,10.0,"148km S of Severo-Kuril'sk, Russia"
2018-10-11,49.3262,156.2063,5.4,10.0,"150km S of Severo-Kuril'sk, Russia"
2018-10-11,49.4323,156.0849,4.7,10.0,"138km S of Severo-Kuril'sk, Russia"
2018-10-10,49.1392,156.19299999999998,4.8,10.0,"171km S of Severo-Kuril'sk, Russia"
2018-10-10,49.2,156.28,5.5,10.0,"164km S of Severo-Kuril'sk, Russia"
2018-10-10,49.1265,156.30200000000002,5.2,10.0,"173km S of Severo-Kuril'sk, Russia"
2018-10-10,49.2902,156.2968,6.5,20.0,"154km S of Severo-Kuril'sk, Russia"
2018-10-09,39.0221,142.4627,4.6,22.81,"56km ESE of Kamaishi, Japan"
2018-10-09,44.2535,149.8354,4.6,10.0,"189km SE of Kuril'sk, Russia"
2018-10-09,49.4001,156.2184,4.6,10.0,"142km S of Severo-Kuril'sk, Russia"
2018-10-09,49.3959,156.2425,6.1,19.0,"142km S of Severo-Kuril'sk, Russia"
2018-10-09,41.0022,142.2267,4.5,50.85,"81km ENE of Misawa, Japan"
2018-10-09,27.9703,128.2198,4.6,10.0,"131km WSW of Naze, Japan"
2018-10-09,29.9016,141.0843,4.5,48.3,"Izu Islands, Japan region"
2018-10-08,45.8362,150.4817,4.5,104.74,"213km ENE of Kuril'sk, Russia"
2018-10-08,37.3655,141.5211,4.7,35.0,"47km ESE of Namie, Japan"
2018-10-08,28.4707,141.6854,4.6,37.76,"162km NNW of Chichi-shima, Japan"
2018-10-08,44.5672,148.2793,4.6,50.11,"80km SSE of Kuril'sk, Russia"
2018-10-08,23.6085,143.815,4.7,12.11,"283km ESE of Iwo Jima, Japan"
2018-10-08,23.5895,143.7463,4.5,10.0,"278km ESE of Iwo Jima, Japan"
2018-10-08,42.6258,141.9864,4.6,34.0,"31km E of Tomakomai, Japan"
2018-10-08,23.6221,143.8849,4.9,10.0,"289km ESE of Iwo Jima, Japan"
2018-10-08,23.7133,144.0184,4.6,10.0,"297km ESE of Iwo Jima, Japan"
2018-10-07,26.5339,140.5194,4.7,415.84,"179km WSW of Chichi-shima, Japan"
2018-10-07,35.0158,137.4893,4.8,40.22,"12km N of Shinshiro, Japan"
2018-10-06,26.4868,129.4496,4.7,10.0,"147km E of Nago, Japan"
2018-10-06,42.6914,141.9692,4.6,38.64,"29km ESE of Chitose, Japan"
2018-10-05,32.6447,140.8904,4.5,48.05,"113km ESE of Hachijo-jima, Japan"
2018-10-05,26.7298,129.5792,4.5,10.0,"160km E of Nago, Japan"
2018-10-04,42.5988,142.0359,5.0,16.92,"35km E of Tomakomai, Japan"
2018-10-04,26.6068,129.4751,5.0,10.0,"149km E of Nago, Japan"
2018-10-04,31.0932,131.4663,4.6,35.0,"46km SSE of Kushima, Japan"
2018-10-03,35.7891,140.9937,4.9,30.59,"15km ENE of Hasaki, Japan"
2018-10-03,41.1356,144.3686,4.6,10.0,"204km S of Kushiro, Japan"
2018-10-02,37.6683,141.7129,4.6,35.0,"66km ENE of Namie, Japan"
2018-10-01,38.9592,142.8115,4.5,36.52,"87km ESE of Kamaishi, Japan"
2018-10-01,26.7516,129.7105,4.7,10.0,"173km E of Nago, Japan"
2018-10-01,42.893,141.9909,4.8,33.53,"28km ENE of Chitose, Japan"
2018-09-30,31.9167,141.6083,4.6,16.41,"213km SE of Hachijo-jima, Japan"
2018-09-30,42.5471,141.9968,5.0,35.0,"33km ESE of Tomakomai, Japan"
2018-09-29,42.7652,141.9494,4.5,35.0,"25km ESE of Chitose, Japan"
2018-09-29,47.1412,152.6567,4.9,83.57,Kuril Islands
2018-09-27,37.148,141.0743,4.5,49.03,"20km ENE of Iwaki, Japan"
2018-09-27,26.7884,129.7,4.6,10.0,"173km E of Nago, Japan"
2018-09-27,47.6007,154.0345,4.8,39.98,Kuril Islands
2018-09-26,45.1476,149.2177,4.6,85.29,"105km E of Kuril'sk, Russia"
2018-09-26,27.4408,142.0848,4.6,72.44,"41km NNW of Chichi-shima, Japan"
2018-09-26,44.7214,149.8563,4.6,49.35,"165km ESE of Kuril'sk, Russia"
2018-09-25,48.1944,155.0938,5.1,35.0,"286km SSW of Severo-Kuril'sk, Russia"
2018-09-25,41.9449,141.1385,4.5,104.3,"38km ENE of Hakodate, Japan"
2018-09-24,25.0248,125.6729,4.7,57.04,"46km ENE of Hirara, Japan"
2018-09-23,45.94,152.9642,4.7,10.0,East of the Kuril Islands
2018-09-23,36.4966,140.6655,4.6,53.8,"9km ENE of Funaishikawa, Japan"
2018-09-23,35.2249,141.1966,4.8,26.58,"65km SSE of Hasaki, Japan"
2018-09-22,26.6637,129.6566,5.4,10.0,"167km E of Nago, Japan"
2018-09-22,45.2211,150.5307,4.6,45.14,"207km E of Kuril'sk, Russia"
2018-09-22,45.1727,150.5472,5.0,33.11,"209km E of Kuril'sk, Russia"
2018-09-20,26.7341,129.6486,4.6,10.0,"167km E of Nago, Japan"
2018-09-20,26.6747,129.6597,4.7,10.0,"167km E of Nago, Japan"
2018-09-20,39.8823,143.1136,4.7,36.43,"103km ENE of Miyako, Japan"
2018-09-18,35.7288,141.9027,4.7,8.38,"96km E of Hasaki, Japan"
2018-09-18,38.4621,141.5577,5.1,56.52,"23km ENE of Ishinomaki, Japan"
2018-09-18,26.7882,129.7743,4.6,10.0,"177km S of Naze, Japan"
2018-09-18,36.0211,139.7672,4.6,83.53,"3km ESE of Sugito, Japan"
2018-09-18,26.6887,129.6347,4.6,10.0,"165km E of Nago, Japan"
2018-09-17,47.2515,150.955,4.5,172.35,"240km SE of Vostok, Russia"
2018-09-17,26.7095,129.7013,5.0,10.0,"172km E of Nago, Japan"
2018-09-16,42.6789,141.8707,4.8,13.88,"22km ENE of Tomakomai, Japan"
2018-09-16,26.655,129.6809,4.5,10.0,"169km E of Nago, Japan"
2018-09-16,24.1515,143.464,4.5,10.0,"227km ESE of Iwo Jima, Japan"
2018-09-16,26.7024,129.5769,4.8,10.0,"159km E of Nago, Japan"
2018-09-15,35.3801,141.2864,4.5,29.41,"56km SE of Hasaki, Japan"
2018-09-15,26.7178,129.5933,4.6,10.0,"161km E of Nago, Japan"
2018-09-15,26.6213,129.7791,4.6,10.0,"179km E of Nago, Japan"
2018-09-15,26.4878,129.5875,4.6,10.0,"160km E of Nago, Japan"
2018-09-15,26.5742,129.5279,5.6,10.2,"154km E of Nago, Japan"
2018-09-15,49.8508,156.1699,5.4,49.28,"92km S of Severo-Kuril'sk, Russia"
2018-09-15,26.6904,129.6387,5.2,10.15,"165km E of Nago, Japan"
2018-09-15,26.6617,129.8195,4.7,10.0,"183km E of Nago, Japan"
2018-09-15,26.7462,129.7372,4.9,10.0,"176km E of Nago, Japan"
2018-09-15,26.6846,129.5989,4.6,10.0,"161km E of Nago, Japan"
2018-09-15,26.6666,129.5559,4.6,10.0,"157km E of Nago, Japan"
2018-09-15,26.5998,129.5599,5.0,10.0,"157km E of Nago, Japan"
2018-09-15,26.6092,129.5737,4.9,10.0,"159km E of Nago, Japan"
2018-09-15,26.6318,129.6883,4.7,10.0,"170km E of Nago, Japan"
2018-09-15,26.6827,129.6017,5.7,10.0,"162km E of Nago, Japan"
2018-09-15,26.7366,129.4978,5.1,10.0,"152km E of Nago, Japan"
2018-09-15,26.774,129.6812,4.7,10.0,"170km E of Nago, Japan"
2018-09-15,26.5723,129.8862,4.8,10.0,"190km E of Nago, Japan"
2018-09-15,26.706999999999997,129.5875,4.6,10.0,"160km E of Nago, Japan"
2018-09-15,26.6796,129.6362,4.9,10.0,"165km E of Nago, Japan"
2018-09-15,26.6176,129.6998,4.9,10.0,"171km E of Nago, Japan"
2018-09-15,26.6974,129.5594,5.4,10.0,"158km E of Nago, Japan"
2018-09-15,26.6969,129.6547,4.9,10.0,"167km E of Nago, Japan"
2018-09-15,26.6719,129.5944,4.6,10.0,"161km E of Nago, Japan"
2018-09-15,44.408,149.2402,4.5,35.0,"141km SE of Kuril'sk, Russia"
2018-09-15,26.7476,129.5933,4.8,10.0,"161km E of Nago, Japan"
2018-09-15,26.7059,129.6128,4.6,10.0,"163km E of Nago, Japan"
2018-09-15,26.7302,129.6429,5.7,9.32,"166km E of Nago, Japan"
2018-09-14,36.8176,140.6565,4.6,7.87,"9km WNW of Kitaibaraki, Japan"
2018-09-13,42.7494,141.934,4.5,26.62,"24km ESE of Chitose, Japan"
