No,deprem_kodu,olus_tarihi,olus_zamani,enlem,boylam,derinlik,xM,MD,ML,Mw,Ms,Mb,Tip,Yer
16417,1.90009E+13,1900.09.20,00:01.0,37.8,29.1,5,5,5,0,,0,0,Ke,DENIZLI (DENIZLI) [North East  2.3 km]
16416,1.90102E+13,1901.02.23,00:00.0,37.9,27.9,15,4.8,4.7,4.6,4.8,4.6,4.7,Ke,KENGER- (AYDIN) [North East  1.1 km]
16415,1.90103E+13,1901.03.01,00:01.0,38.2,27.7,5,5,5,0,,0,0,Ke,YAKACIK-BAYINDIR (IZMIR) [South West  0.8 km]
16414,1.90104E+13,1901.04.01,00:01.0,38.4,31.4,5,5,5,0,,0,0,Ke,ATAKENT-AKSEHIR (KONYA) [North East  2.4 km]
16413,1.90105E+13,1901.05.01,00:01.0,37.8,27.8,15,5,5,0,,0,0,Ke,KADIKOY- (AYDIN) [South West  2.6 km]
16412,1.90105E+13,1901.05.12,32:00.0,39.8,30.5,15,5.3,5,4.9,5.3,5,5,Ke,TEPEBASI (ESKISEHIR) [North East  1.9 km]
16411,1.90304E+13,1903.04.04,00:00.0,39,28,20,5.6,5.4,5.3,5.6,5.5,5.4,Ke,PEKMEZCI-AKHISAR (MANISA) [West 3.0 km]
16410,1.90304E+13,1903.04.28,46:00.0,39.1,42.5,30,6.3,6,6,6.2,6.3,5.9,Ke,HASRETPINAR-MALAZGIRT (MUS) [East 4.3 km]
16409,1.90305E+13,1903.05.03,00:00.0,38.7,41.5,30,5.2,4.9,4.9,5.2,4.9,4.9,Ke,SOGUCAK- (MUS) [South West  3.1 km]
16408,1.90305E+13,1903.05.28,54:03.2,40.9,42.8,16,5.5,5.3,5.3,5.5,5.4,5.3,Ke,MOLLAHASAN-GOLE (ARDAHAN) [North West  1.4 km]
16407,1.90307E+13,1903.07.06,00:01.0,37.8,32.5,5,4.4,4.4,0,,0,0,Ke,KONYA [South 7.2 km]
16406,1.90307E+13,1903.07.08,43:00.0,41.4,44.5,30,5.2,4.9,4.9,5.2,4.9,4.9,Ke,AZERBAYCAN
16405,1.90307E+13,1903.07.09,21:00.3,41.1,44.4,22,4.7,4.6,4.6,4.7,4.5,4.6,Ke,AZERBAYCAN
16404,1.90307E+13,1903.07.19,07:05.4,35,30,20,5.8,5.5,5.5,5.8,5.7,5.5,Ke,AKDENIZ
16403,1.90401E+13,1904.01.01,38:00.0,37.8,29.1,20,4.9,4.8,4.8,4.9,4.8,4.9,Ke,DENIZLI (DENIZLI) [North East  2.3 km]
16402,1.90402E+13,1904.02.16,45:00.0,40.3,38.4,30,5.3,5,5,5.3,5.1,5.1,Ke,BAYHASAN-SEBINKARAHISAR (GIRESUN) [South East  1.9 km]
16401,1.90405E+13,1904.05.19,02:00.0,38.4,27.2,20,5.5,5.3,5.3,5.5,5.4,5.3,Ke,BUCA (IZMIR) [North East  2.5 km]
16400,1.90408E+13,1904.08.11,08:00.0,37.7,26.9,6,6.2,5.9,5.9,6.1,6.2,5.9,Ke,SISAM ADASI (EGE DENIZI)
16399,1.90408E+13,1904.08.15,12:00.0,37.4,26.6,5,4.7,4.6,4.6,4.7,4.5,4.6,Ke,ONIKI ADALAR (AKDENIZ)
16398,1.90408E+13,1904.08.18,07:00.0,38,27,30,6,5.8,5.7,6,6,5.7,Ke,KUSADASI K�RFEZI (EGE DENIZI)
16397,1.9041E+13,1904.10.10,40:00.0,38.4,27.2,20,5.8,5.6,5.6,5.8,5.8,5.6,Ke,BUCA (IZMIR) [North East  2.5 km]
16396,1.9041E+13,1904.10.22,00:00.0,38,27,30,4.8,4.7,4.6,4.8,4.6,4.7,Ke,KUSADASI K�RFEZI (EGE DENIZI)
16395,1.90501E+13,1905.01.11,32:00.0,39.6,27.9,15,5.3,5,4.9,5.3,5,5,Ke,CAYIRHISAR- (BALIKESIR) [South 1.7 km]
16394,1.90504E+13,1905.04.15,36:00.0,40.2,29,6,5.7,5.4,5.4,5.7,5.6,5.4,Ke,NILUFER (BURSA) [South East  2.4 km]
16393,1.90504E+13,1905.04.30,13:00.0,39.8,30.5,22,5.5,5.3,5.3,5.5,5.4,5.3,Ke,TEPEBASI (ESKISEHIR) [North East  1.9 km]
16392,1.90505E+13,1905.05.01,00:01.0,39.9,31.1,5,4.9,4.9,0,,0,0,Ke,AGACHISAR-ALPU (ESKISEHIR) [South West  4.6 km]
16391,1.9051E+13,1905.10.22,42:00.0,41,31,27,5.4,5.1,5.1,5.4,5.2,5.1,Ke,ESMAHANIM-AKCAKOCA (DUZCE) [North East  1.4 km]
16388,1.90512E+13,1905.12.04,20:00.0,39,39,30,5.7,5.4,5.4,5.7,5.6,5.4,Ke,PAYAMDUZU-CEMISGEZEK (TUNCELI) [North East  2.8 km]
16389,1.90512E+13,1905.12.04,40:00.0,39,39,30,5.8,5.6,5.6,5.8,5.8,5.6,Ke,PAYAMDUZU-CEMISGEZEK (TUNCELI) [North East  2.8 km]
