date,latitude,longitude,mag,depth,place
1900-09-20,37.8,5.0,5.0,29.1,DENIZLI (DENIZLI) [North East  2.3 km]
1901-02-23,37.9,15.0,4.8,27.9,KENGER- (AYDIN) [North East  1.1 km]
1901-03-01,38.2,5.0,5.0,27.7,YAKACIK-BAYINDIR (IZMIR) [South West  0.8 km]
1901-04-01,38.4,5.0,5.0,31.4,ATAKENT-AKSEHIR (KONYA) [North East  2.4 km]
1901-05-01,37.8,15.0,5.0,27.8,KADIKOY- (AYDIN) [South West  2.6 km]
1901-05-12,39.8,15.0,5.3,30.5,TEPEBASI (ESKISEHIR) [North East  1.9 km]
1903-04-04,39.0,20.0,5.6,28.0,PEKMEZCI-AKHISAR (MANISA) [West 3.0 km]
1903-04-28,39.1,30.0,6.3,42.5,HASRETPINAR-MALAZGIRT (MUS) [East 4.3 km]
1903-05-03,38.7,30.0,5.2,41.5,SOGUCAK- (MUS) [South West  3.1 km]
1903-05-28,40.9,16.0,5.5,42.8,MOLLAHASAN-GOLE (ARDAHAN) [North West  1.4 km]
1903-07-06,37.8,5.0,4.4,32.5,KONYA [South 7.2 km]
1903-07-08,41.4,30.0,5.2,44.5,AZERBAYCAN
1903-07-09,41.1,22.0,4.7,44.4,AZERBAYCAN
1903-07-19,35.0,20.0,5.8,30.0,AKDENIZ
1904-01-01,37.8,20.0,4.9,29.1,DENIZLI (DENIZLI) [North East  2.3 km]
1904-02-16,40.3,30.0,5.3,38.4,BAYHASAN-SEBINKARAHISAR (GIRESUN) [South East  1.9 km]
1904-05-19,38.4,20.0,5.5,27.2,BUCA (IZMIR) [North East  2.5 km]
1904-08-11,37.7,6.0,6.2,26.9,SISAM ADASI (EGE DENIZI)
1904-08-15,37.4,5.0,4.7,26.6,ONIKI ADALAR (AKDENIZ)
1904-08-18,38.0,30.0,6.0,27.0,KUSADASI K�RFEZI (EGE DENIZI)
1904-10-10,38.4,20.0,5.8,27.2,BUCA (IZMIR) [North East  2.5 km]
1904-10-22,38.0,30.0,4.8,27.0,KUSADASI K�RFEZI (EGE DENIZI)
1905-01-11,39.6,15.0,5.3,27.9,CAYIRHISAR- (BALIKESIR) [South 1.7 km]
1905-04-15,40.2,6.0,5.7,29.0,NILUFER (BURSA) [South East  2.4 km]
1905-04-30,39.8,22.0,5.5,30.5,TEPEBASI (ESKISEHIR) [North East  1.9 km]
1905-05-01,39.9,5.0,4.9,31.1,AGACHISAR-ALPU (ESKISEHIR) [South West  4.6 km]
1905-10-22,41.0,27.0,5.4,31.0,ESMAHANIM-AKCAKOCA (DUZCE) [North East  1.4 km]
1905-12-04,39.0,30.0,5.7,39.0,PAYAMDUZU-CEMISGEZEK (TUNCELI) [North East  2.8 km]
1905-12-04,39.0,30.0,5.8,39.0,PAYAMDUZU-CEMISGEZEK (TUNCELI) [North East  2.8 km]
1905-12-04,39.0,30.0,6.8,39.0,PAYAMDUZU-CEMISGEZEK (TUNCELI) [North East  2.8 km]
1906-09-28,40.6,9.0,4.9,43.1,KARS (KARS) [South East  0.6 km]
1906-09-28,40.5,30.0,6.2,42.7,KAMISLI-SELIM (KARS) [South East  1.3 km]
1906-10-20,41.2,26.0,5.4,44.3,AZERBAYCAN
1906-12-28,40.5,30.0,6.0,42.0,TOPRAKKALE-OLTU (ERZURUM) [North 3.5 km]
1907-01-22,41.0,12.0,4.7,29.0,KADIKOY (ISTANBUL) [North West  2.2 km]
1907-01-29,39.1,30.0,5.2,42.5,HASRETPINAR-MALAZGIRT (MUS) [East 4.3 km]
1907-03-29,38.4,5.0,4.9,42.1,BITLIS [North West  0.4 km]
1907-03-31,39.1,30.0,5.4,42.5,HASRETPINAR-MALAZGIRT (MUS) [East 4.3 km]
1907-04-06,39.3,30.0,5.2,40.4,ESKIKAVAK-KIGI (BINGOL) [North East  1.2 km]
1907-06-03,38.7,30.0,5.3,41.5,SOGUCAK- (MUS) [South West  3.1 km]
1907-08-21,40.7,15.0,5.6,30.1,SIRINSULHIYE-KARTEPE (KOCAELI) [East 0.3 km]
1907-12-01,37.6,5.0,6.3,34.5,GUNEY-ULUKISLA (NIGDE) [South 3.8 km]
1908-02-02,37.5,5.0,4.9,34.5,EMIRLER-ULUKISLA (NIGDE) [North West  3.1 km]
1908-02-17,37.4,5.0,6.0,35.8,ISIKLI-KOZAN (ADANA) [East 0.4 km]
1908-02-21,39.9,5.0,4.9,41.3,PALANDOKEN (ERZURUM) [North East  2.6 km]
1908-03-08,37.8,15.0,5.3,27.8,KADIKOY- (AYDIN) [South West  2.6 km]
1908-04-12,38.2,9.0,5.5,27.7,YAKACIK-BAYINDIR (IZMIR) [South West  0.8 km]
1908-06-21,40.6,30.0,5.4,35.9,SAZKOY- (AMASYA) [South East  1.7 km]
1908-06-23,38.4,38.0,5.3,27.2,BUCA (IZMIR) [North East  2.5 km]
1908-06-23,38.4,25.0,5.3,27.2,BUCA (IZMIR) [North East  2.5 km]
1908-06-23,38.4,27.0,5.4,27.2,BUCA (IZMIR) [North East  2.5 km]
1908-09-28,38.0,30.0,6.0,44.0,BARIS-BASKALE (VAN) [South East  2.7 km]
1908-10-30,37.6,30.0,5.5,36.8,AFSAR- (KAHRAMANMARAS) [North East  2.4 km]
1908-11-16,41.5,20.0,4.7,26.5,DOYRAN- (EDIRNE) [West 9.0 km]
1909-01-19,38.0,60.0,6.0,26.5,EGE DENIZI
1909-02-09,40.0,30.0,5.8,38.0,SARKOY-SUSEHRI (SIVAS) [South East  2.0 km]
1909-02-09,40.0,60.0,6.3,38.0,SARKOY-SUSEHRI (SIVAS) [South East  2.0 km]
1909-02-10,40.0,30.0,5.8,38.0,SARKOY-SUSEHRI (SIVAS) [South East  2.0 km]
1909-02-22,39.0,30.0,5.8,37.0,YARHISAR-KANGAL (SIVAS) [South East  2.8 km]
1909-03-05,39.0,30.0,5.5,40.0,HAMZALI-KARAKOCAN (ELAZIG) [North West  0.6 km]
1909-10-29,38.0,20.0,5.5,27.0,KUSADASI K�RFEZI (EGE DENIZI)
1910-03-08,40.8,10.0,4.7,44.6,AZERBAYCAN
1910-03-20,36.8,5.0,4.9,34.6,YENISEHIR (MERSIN) [North East  2.1 km]
1910-06-25,41.0,5.0,6.2,34.0,ERMELIK-TOSYA (KASTAMONU) [South East  2.3 km]
1910-08-07,37.8,30.0,5.5,28.7,HACIHIDIRLAR-KARACASU (AYDIN) [North East  2.9 km]
1911-04-30,36.0,180.0,6.1,30.0,KALE A�IKLARI-ANTALYA (AKDENIZ)
1912-03-18,41.6,16.0,4.2,44.3,G�RCISTAN
1912-06-07,41.4,19.0,4.9,44.0,G�RCISTAN
1912-08-09,40.6,16.0,7.3,27.2,ERIKLICE-SARKOY (TEKIRDAG) [South East  4.3 km]
